 ; T0 ; lambdaT ; kStep ; kMax ; Min ; % ; MoySec
8 ; 1 ; 0.970000 ; 1 ; 10 ; 720 ; 1.00% ; 0.000180 
8 ; 1 ; 0.970000 ; 1 ; 100 ; 720 ; 19.00% ; 0.001463 
8 ; 1 ; 0.970000 ; 10 ; 100 ; 720 ; 22.00% ; 0.001403 
8 ; 1 ; 0.970000 ; 1 ; 1000 ; 720 ; 25.00% ; 0.013974 
8 ; 1 ; 0.970000 ; 10 ; 1000 ; 720 ; 26.00% ; 0.013757 
8 ; 1 ; 0.970000 ; 100 ; 1000 ; 720 ; 31.00% ; 0.013761 
8 ; 1 ; 0.970000 ; 1 ; 10000 ; 720 ; 22.00% ; 0.140166 
8 ; 1 ; 0.970000 ; 10 ; 10000 ; 720 ; 31.00% ; 0.136141 
8 ; 1 ; 0.970000 ; 100 ; 10000 ; 720 ; 28.00% ; 0.135856 
8 ; 1 ; 0.970000 ; 1000 ; 10000 ; 720 ; 30.00% ; 0.137086 
8 ; 1 ; 0.970000 ; 1 ; 100000 ; 720 ; 23.00% ; 1.384710 
8 ; 1 ; 0.970000 ; 10 ; 100000 ; 720 ; 25.00% ; 1.381222 
8 ; 1 ; 0.970000 ; 100 ; 100000 ; 720 ; 30.00% ; 1.364876 
8 ; 1 ; 0.970000 ; 1000 ; 100000 ; 720 ; 30.00% ; 1.359744 
8 ; 5 ; 0.970000 ; 1 ; 10 ; 770 ; 1.00% ; 0.000168 
8 ; 5 ; 0.970000 ; 1 ; 100 ; 720 ; 23.00% ; 0.001423 
8 ; 5 ; 0.970000 ; 10 ; 100 ; 720 ; 16.00% ; 0.001415 
8 ; 5 ; 0.970000 ; 1 ; 1000 ; 720 ; 29.00% ; 0.013809 
8 ; 5 ; 0.970000 ; 10 ; 1000 ; 720 ; 29.00% ; 0.013748 
8 ; 5 ; 0.970000 ; 100 ; 1000 ; 720 ; 26.00% ; 0.013812 
8 ; 5 ; 0.970000 ; 1 ; 10000 ; 720 ; 28.00% ; 0.137903 
8 ; 5 ; 0.970000 ; 10 ; 10000 ; 720 ; 26.00% ; 0.136095 
8 ; 5 ; 0.970000 ; 100 ; 10000 ; 720 ; 30.00% ; 0.136086 
8 ; 5 ; 0.970000 ; 1000 ; 10000 ; 720 ; 29.00% ; 0.138258 
8 ; 5 ; 0.970000 ; 1 ; 100000 ; 720 ; 22.00% ; 1.386425 
8 ; 5 ; 0.970000 ; 10 ; 100000 ; 720 ; 33.00% ; 1.364123 
8 ; 5 ; 0.970000 ; 100 ; 100000 ; 720 ; 30.00% ; 1.368625 
8 ; 5 ; 0.970000 ; 1000 ; 100000 ; 720 ; 18.00% ; 1.400389 
8 ; 10 ; 0.970000 ; 1 ; 10 ; 720 ; 2.00% ; 0.000175 
8 ; 10 ; 0.970000 ; 1 ; 100 ; 720 ; 23.00% ; 0.001440 
8 ; 10 ; 0.970000 ; 10 ; 100 ; 720 ; 20.00% ; 0.001417 
8 ; 10 ; 0.970000 ; 1 ; 1000 ; 720 ; 37.00% ; 0.013717 
8 ; 10 ; 0.970000 ; 10 ; 1000 ; 720 ; 27.00% ; 0.013718 
8 ; 10 ; 0.970000 ; 100 ; 1000 ; 720 ; 27.00% ; 0.013912 
8 ; 10 ; 0.970000 ; 1 ; 10000 ; 720 ; 24.00% ; 0.137494 
8 ; 10 ; 0.970000 ; 10 ; 10000 ; 720 ; 28.00% ; 0.137705 
8 ; 10 ; 0.970000 ; 100 ; 10000 ; 720 ; 32.00% ; 0.135292 
8 ; 10 ; 0.970000 ; 1000 ; 10000 ; 720 ; 26.00% ; 0.137681 
8 ; 10 ; 0.970000 ; 1 ; 100000 ; 720 ; 18.00% ; 1.384796 
8 ; 10 ; 0.970000 ; 10 ; 100000 ; 720 ; 31.00% ; 1.369599 
8 ; 10 ; 0.970000 ; 100 ; 100000 ; 720 ; 43.00% ; 1.360782 
8 ; 10 ; 0.970000 ; 1000 ; 100000 ; 720 ; 27.00% ; 1.387487 
