 ; T0 ; lambdaT ; kStep ; kMax ; Min ; % ; MoySec
4 ; 1 ; 0.970000 ; 1 ; 10 ; 360 ; 76.00% ; 0.000133 
4 ; 1 ; 0.970000 ; 1 ; 100 ; 360 ; 100.00% ; 0.001177 
4 ; 1 ; 0.970000 ; 10 ; 100 ; 360 ; 100.00% ; 0.001126 
4 ; 1 ; 0.970000 ; 1 ; 1000 ; 360 ; 100.00% ; 0.011218 
4 ; 1 ; 0.970000 ; 10 ; 1000 ; 360 ; 100.00% ; 0.011206 
4 ; 1 ; 0.970000 ; 100 ; 1000 ; 360 ; 100.00% ; 0.011160 
4 ; 1 ; 0.970000 ; 1 ; 10000 ; 360 ; 100.00% ; 0.111876 
4 ; 1 ; 0.970000 ; 10 ; 10000 ; 360 ; 100.00% ; 0.111510 
4 ; 1 ; 0.970000 ; 100 ; 10000 ; 360 ; 100.00% ; 0.111442 
4 ; 1 ; 0.970000 ; 1000 ; 10000 ; 360 ; 100.00% ; 0.111313 
4 ; 1 ; 0.970000 ; 1 ; 100000 ; 360 ; 100.00% ; 1.124960 
4 ; 1 ; 0.970000 ; 10 ; 100000 ; 360 ; 100.00% ; 1.116086 
4 ; 1 ; 0.970000 ; 100 ; 100000 ; 360 ; 100.00% ; 1.116499 
4 ; 1 ; 0.970000 ; 1000 ; 100000 ; 360 ; 100.00% ; 1.114930 
4 ; 5 ; 0.970000 ; 1 ; 10 ; 360 ; 71.00% ; 0.000128 
4 ; 5 ; 0.970000 ; 1 ; 100 ; 360 ; 100.00% ; 0.001127 
4 ; 5 ; 0.970000 ; 10 ; 100 ; 360 ; 100.00% ; 0.001117 
4 ; 5 ; 0.970000 ; 1 ; 1000 ; 360 ; 100.00% ; 0.011591 
4 ; 5 ; 0.970000 ; 10 ; 1000 ; 360 ; 100.00% ; 0.011217 
4 ; 5 ; 0.970000 ; 100 ; 1000 ; 360 ; 100.00% ; 0.011124 
4 ; 5 ; 0.970000 ; 1 ; 10000 ; 360 ; 100.00% ; 0.111931 
4 ; 5 ; 0.970000 ; 10 ; 10000 ; 360 ; 100.00% ; 0.111651 
4 ; 5 ; 0.970000 ; 100 ; 10000 ; 360 ; 100.00% ; 0.111359 
4 ; 5 ; 0.970000 ; 1000 ; 10000 ; 360 ; 100.00% ; 0.111144 
4 ; 5 ; 0.970000 ; 1 ; 100000 ; 360 ; 100.00% ; 1.123789 
4 ; 5 ; 0.970000 ; 10 ; 100000 ; 360 ; 100.00% ; 1.117459 
4 ; 5 ; 0.970000 ; 100 ; 100000 ; 360 ; 100.00% ; 1.115110 
4 ; 5 ; 0.970000 ; 1000 ; 100000 ; 360 ; 100.00% ; 1.113676 
4 ; 10 ; 0.970000 ; 1 ; 10 ; 360 ; 72.00% ; 0.000128 
4 ; 10 ; 0.970000 ; 1 ; 100 ; 360 ; 100.00% ; 0.001120 
4 ; 10 ; 0.970000 ; 10 ; 100 ; 360 ; 100.00% ; 0.001127 
4 ; 10 ; 0.970000 ; 1 ; 1000 ; 360 ; 100.00% ; 0.011210 
4 ; 10 ; 0.970000 ; 10 ; 1000 ; 360 ; 100.00% ; 0.011131 
4 ; 10 ; 0.970000 ; 100 ; 1000 ; 360 ; 100.00% ; 0.011183 
4 ; 10 ; 0.970000 ; 1 ; 10000 ; 360 ; 100.00% ; 0.111796 
4 ; 10 ; 0.970000 ; 10 ; 10000 ; 360 ; 100.00% ; 0.111569 
4 ; 10 ; 0.970000 ; 100 ; 10000 ; 360 ; 100.00% ; 0.111271 
4 ; 10 ; 0.970000 ; 1000 ; 10000 ; 360 ; 100.00% ; 0.111205 
4 ; 10 ; 0.970000 ; 1 ; 100000 ; 360 ; 100.00% ; 1.123922 
4 ; 10 ; 0.970000 ; 10 ; 100000 ; 360 ; 100.00% ; 1.116653 
4 ; 10 ; 0.970000 ; 100 ; 100000 ; 360 ; 100.00% ; 1.116940 
4 ; 10 ; 0.970000 ; 1000 ; 100000 ; 360 ; 100.00% ; 1.113918 
