 ; T0 ; lambdaT ; kStep ; kMax ; Min ; % ; MoySec
5 ; 1 ; 0.970000 ; 1 ; 10 ; 470 ; 26.00% ; 0.000149 
5 ; 1 ; 0.970000 ; 1 ; 100 ; 470 ; 59.00% ; 0.001288 
5 ; 1 ; 0.970000 ; 10 ; 100 ; 470 ; 61.00% ; 0.001244 
5 ; 1 ; 0.970000 ; 1 ; 1000 ; 470 ; 60.00% ; 0.012146 
5 ; 1 ; 0.970000 ; 10 ; 1000 ; 470 ; 58.00% ; 0.012117 
5 ; 1 ; 0.970000 ; 100 ; 1000 ; 470 ; 54.00% ; 0.012158 
5 ; 1 ; 0.970000 ; 1 ; 10000 ; 470 ; 57.00% ; 0.121502 
5 ; 1 ; 0.970000 ; 10 ; 10000 ; 470 ; 57.00% ; 0.121066 
5 ; 1 ; 0.970000 ; 100 ; 10000 ; 470 ; 58.00% ; 0.120693 
5 ; 1 ; 0.970000 ; 1000 ; 10000 ; 470 ; 62.00% ; 0.120184 
5 ; 1 ; 0.970000 ; 1 ; 100000 ; 470 ; 62.00% ; 1.211779 
5 ; 1 ; 0.970000 ; 10 ; 100000 ; 470 ; 46.00% ; 1.222853 
5 ; 1 ; 0.970000 ; 100 ; 100000 ; 470 ; 58.00% ; 1.207260 
5 ; 1 ; 0.970000 ; 1000 ; 100000 ; 470 ; 69.00% ; 1.193489 
5 ; 5 ; 0.970000 ; 1 ; 10 ; 470 ; 27.00% ; 0.000140 
5 ; 5 ; 0.970000 ; 1 ; 100 ; 470 ; 62.00% ; 0.001231 
5 ; 5 ; 0.970000 ; 10 ; 100 ; 470 ; 59.00% ; 0.001241 
5 ; 5 ; 0.970000 ; 1 ; 1000 ; 470 ; 59.00% ; 0.012127 
5 ; 5 ; 0.970000 ; 10 ; 1000 ; 470 ; 61.00% ; 0.012104 
5 ; 5 ; 0.970000 ; 100 ; 1000 ; 470 ; 63.00% ; 0.012027 
5 ; 5 ; 0.970000 ; 1 ; 10000 ; 470 ; 57.00% ; 0.121083 
5 ; 5 ; 0.970000 ; 10 ; 10000 ; 470 ; 57.00% ; 0.120892 
5 ; 5 ; 0.970000 ; 100 ; 10000 ; 470 ; 63.00% ; 0.119953 
5 ; 5 ; 0.970000 ; 1000 ; 10000 ; 470 ; 68.00% ; 0.119272 
5 ; 5 ; 0.970000 ; 1 ; 100000 ; 470 ; 64.00% ; 1.209117 
5 ; 5 ; 0.970000 ; 10 ; 100000 ; 470 ; 51.00% ; 1.218225 
5 ; 5 ; 0.970000 ; 100 ; 100000 ; 470 ; 53.00% ; 1.213520 
5 ; 5 ; 0.970000 ; 1000 ; 100000 ; 470 ; 62.00% ; 1.200631 
5 ; 10 ; 0.970000 ; 1 ; 10 ; 470 ; 25.00% ; 0.000145 
5 ; 10 ; 0.970000 ; 1 ; 100 ; 470 ; 55.00% ; 0.001239 
5 ; 10 ; 0.970000 ; 10 ; 100 ; 470 ; 66.00% ; 0.001207 
5 ; 10 ; 0.970000 ; 1 ; 1000 ; 470 ; 66.00% ; 0.012007 
5 ; 10 ; 0.970000 ; 10 ; 1000 ; 470 ; 64.00% ; 0.012034 
5 ; 10 ; 0.970000 ; 100 ; 1000 ; 470 ; 66.00% ; 0.011935 
5 ; 10 ; 0.970000 ; 1 ; 10000 ; 470 ; 65.00% ; 0.120630 
5 ; 10 ; 0.970000 ; 10 ; 10000 ; 470 ; 67.00% ; 0.119352 
5 ; 10 ; 0.970000 ; 100 ; 10000 ; 470 ; 58.00% ; 0.120382 
5 ; 10 ; 0.970000 ; 1000 ; 10000 ; 470 ; 62.00% ; 0.119525 
5 ; 10 ; 0.970000 ; 1 ; 100000 ; 470 ; 72.00% ; 1.197151 
5 ; 10 ; 0.970000 ; 10 ; 100000 ; 470 ; 57.00% ; 1.208520 
5 ; 10 ; 0.970000 ; 100 ; 100000 ; 470 ; 64.00% ; 1.197047 
5 ; 10 ; 0.970000 ; 1000 ; 100000 ; 470 ; 62.00% ; 1.195043 
