 ; T0 ; lambdaT ; kStep ; kMax ; Min ; % ; MoySec
10 ; 1 ; 0.970000 ; 1 ; 10 ; 1020 ; 1.00% ; 0.000194 
10 ; 1 ; 0.970000 ; 1 ; 100 ; 830 ; 7.00% ; 0.001674 
10 ; 1 ; 0.970000 ; 10 ; 100 ; 830 ; 9.00% ; 0.001612 
10 ; 1 ; 0.970000 ; 1 ; 1000 ; 830 ; 12.00% ; 0.015787 
10 ; 1 ; 0.970000 ; 10 ; 1000 ; 830 ; 12.00% ; 0.015459 
10 ; 1 ; 0.970000 ; 100 ; 1000 ; 830 ; 15.00% ; 0.015406 
10 ; 1 ; 0.970000 ; 1 ; 10000 ; 830 ; 6.00% ; 0.157353 
10 ; 1 ; 0.970000 ; 10 ; 10000 ; 830 ; 10.00% ; 0.156866 
10 ; 1 ; 0.970000 ; 100 ; 10000 ; 830 ; 8.00% ; 0.157572 
10 ; 1 ; 0.970000 ; 1000 ; 10000 ; 830 ; 14.00% ; 0.153889 
10 ; 1 ; 0.970000 ; 1 ; 100000 ; 830 ; 10.00% ; 1.570921 
10 ; 1 ; 0.970000 ; 10 ; 100000 ; 830 ; 11.00% ; 1.560224 
10 ; 1 ; 0.970000 ; 100 ; 100000 ; 830 ; 18.00% ; 1.526782 
10 ; 1 ; 0.970000 ; 1000 ; 100000 ; 830 ; 8.00% ; 1.570305 
10 ; 5 ; 0.970000 ; 1 ; 10 ; 990 ; 1.00% ; 0.000186 
10 ; 5 ; 0.970000 ; 1 ; 100 ; 830 ; 4.00% ; 0.001619 
10 ; 5 ; 0.970000 ; 10 ; 100 ; 830 ; 3.00% ; 0.001593 
10 ; 5 ; 0.970000 ; 1 ; 1000 ; 830 ; 19.00% ; 0.015460 
10 ; 5 ; 0.970000 ; 10 ; 1000 ; 830 ; 5.00% ; 0.015758 
10 ; 5 ; 0.970000 ; 100 ; 1000 ; 830 ; 8.00% ; 0.015779 
10 ; 5 ; 0.970000 ; 1 ; 10000 ; 830 ; 5.00% ; 0.158383 
10 ; 5 ; 0.970000 ; 10 ; 10000 ; 830 ; 19.00% ; 0.154157 
10 ; 5 ; 0.970000 ; 100 ; 10000 ; 830 ; 14.00% ; 0.155693 
10 ; 5 ; 0.970000 ; 1000 ; 10000 ; 830 ; 8.00% ; 0.156383 
10 ; 5 ; 0.970000 ; 1 ; 100000 ; 830 ; 17.00% ; 1.555631 
10 ; 5 ; 0.970000 ; 10 ; 100000 ; 830 ; 12.00% ; 1.563868 
10 ; 5 ; 0.970000 ; 100 ; 100000 ; 830 ; 6.00% ; 1.578485 
10 ; 5 ; 0.970000 ; 1000 ; 100000 ; 830 ; 7.00% ; 1.580596 
10 ; 10 ; 0.970000 ; 1 ; 10 ; 930 ; 1.00% ; 0.000183 
10 ; 10 ; 0.970000 ; 1 ; 100 ; 830 ; 11.00% ; 0.001592 
10 ; 10 ; 0.970000 ; 10 ; 100 ; 830 ; 5.00% ; 0.001615 
10 ; 10 ; 0.970000 ; 1 ; 1000 ; 830 ; 14.00% ; 0.015602 
10 ; 10 ; 0.970000 ; 10 ; 1000 ; 830 ; 13.00% ; 0.015619 
10 ; 10 ; 0.970000 ; 100 ; 1000 ; 830 ; 11.00% ; 0.015636 
10 ; 10 ; 0.970000 ; 1 ; 10000 ; 830 ; 12.00% ; 0.154696 
10 ; 10 ; 0.970000 ; 10 ; 10000 ; 830 ; 8.00% ; 0.156156 
10 ; 10 ; 0.970000 ; 100 ; 10000 ; 830 ; 18.00% ; 0.153144 
10 ; 10 ; 0.970000 ; 1000 ; 10000 ; 830 ; 9.00% ; 0.156390 
10 ; 10 ; 0.970000 ; 1 ; 100000 ; 830 ; 13.00% ; 1.566672 
10 ; 10 ; 0.970000 ; 10 ; 100000 ; 830 ; 9.00% ; 1.572674 
10 ; 10 ; 0.970000 ; 100 ; 100000 ; 830 ; 10.00% ; 1.565811 
10 ; 10 ; 0.970000 ; 1000 ; 100000 ; 830 ; 11.00% ; 1.561253 
