 ; T0 ; lambdaT ; kStep ; kMax ; Min ; % ; MoySec
6 ; 1 ; 0.970000 ; 1 ; 10 ; 660 ; 47.00% ; 0.000164 
6 ; 1 ; 0.970000 ; 1 ; 100 ; 660 ; 80.00% ; 0.001258 
6 ; 1 ; 0.970000 ; 10 ; 100 ; 660 ; 85.00% ; 0.001190 
6 ; 1 ; 0.970000 ; 1 ; 1000 ; 660 ; 80.00% ; 0.011866 
6 ; 1 ; 0.970000 ; 10 ; 1000 ; 660 ; 75.00% ; 0.011906 
6 ; 1 ; 0.970000 ; 100 ; 1000 ; 660 ; 77.00% ; 0.011828 
6 ; 1 ; 0.970000 ; 1 ; 10000 ; 660 ; 80.00% ; 0.117719 
6 ; 1 ; 0.970000 ; 10 ; 10000 ; 660 ; 79.00% ; 0.116877 
6 ; 1 ; 0.970000 ; 100 ; 10000 ; 660 ; 80.00% ; 0.117224 
6 ; 1 ; 0.970000 ; 1000 ; 10000 ; 660 ; 74.00% ; 0.117721 
6 ; 1 ; 0.970000 ; 1 ; 100000 ; 660 ; 81.00% ; 1.180530 
6 ; 1 ; 0.970000 ; 10 ; 100000 ; 660 ; 82.00% ; 1.169614 
6 ; 1 ; 0.970000 ; 100 ; 100000 ; 660 ; 78.00% ; 1.177852 
6 ; 1 ; 0.970000 ; 1000 ; 100000 ; 660 ; 80.00% ; 1.171047 
6 ; 5 ; 0.970000 ; 1 ; 10 ; 660 ; 43.00% ; 0.000148 
6 ; 5 ; 0.970000 ; 1 ; 100 ; 660 ; 79.00% ; 0.001206 
6 ; 5 ; 0.970000 ; 10 ; 100 ; 660 ; 82.00% ; 0.001194 
6 ; 5 ; 0.970000 ; 1 ; 1000 ; 660 ; 81.00% ; 0.011789 
6 ; 5 ; 0.970000 ; 10 ; 1000 ; 660 ; 75.00% ; 0.011800 
6 ; 5 ; 0.970000 ; 100 ; 1000 ; 660 ; 86.00% ; 0.011550 
6 ; 5 ; 0.970000 ; 1 ; 10000 ; 660 ; 86.00% ; 0.116809 
6 ; 5 ; 0.970000 ; 10 ; 10000 ; 660 ; 78.00% ; 0.117524 
6 ; 5 ; 0.970000 ; 100 ; 10000 ; 660 ; 87.00% ; 0.115794 
6 ; 5 ; 0.970000 ; 1000 ; 10000 ; 660 ; 82.00% ; 0.116614 
6 ; 5 ; 0.970000 ; 1 ; 100000 ; 660 ; 75.00% ; 1.191160 
6 ; 5 ; 0.970000 ; 10 ; 100000 ; 660 ; 84.00% ; 1.165619 
6 ; 5 ; 0.970000 ; 100 ; 100000 ; 660 ; 72.00% ; 1.183975 
6 ; 5 ; 0.970000 ; 1000 ; 100000 ; 660 ; 77.00% ; 1.177661 
6 ; 10 ; 0.970000 ; 1 ; 10 ; 660 ; 45.00% ; 0.000148 
6 ; 10 ; 0.970000 ; 1 ; 100 ; 660 ; 82.00% ; 0.001211 
6 ; 10 ; 0.970000 ; 10 ; 100 ; 660 ; 77.00% ; 0.001225 
6 ; 10 ; 0.970000 ; 1 ; 1000 ; 660 ; 82.00% ; 0.011789 
6 ; 10 ; 0.970000 ; 10 ; 1000 ; 660 ; 73.00% ; 0.011931 
6 ; 10 ; 0.970000 ; 100 ; 1000 ; 660 ; 88.00% ; 0.011752 
6 ; 10 ; 0.970000 ; 1 ; 10000 ; 660 ; 83.00% ; 0.117434 
6 ; 10 ; 0.970000 ; 10 ; 10000 ; 660 ; 84.00% ; 0.116406 
6 ; 10 ; 0.970000 ; 100 ; 10000 ; 660 ; 85.00% ; 0.115886 
6 ; 10 ; 0.970000 ; 1000 ; 10000 ; 660 ; 83.00% ; 0.116658 
6 ; 10 ; 0.970000 ; 1 ; 100000 ; 660 ; 75.00% ; 1.191417 
6 ; 10 ; 0.970000 ; 10 ; 100000 ; 660 ; 88.00% ; 1.160732 
6 ; 10 ; 0.970000 ; 100 ; 100000 ; 660 ; 86.00% ; 1.159750 
6 ; 10 ; 0.970000 ; 1000 ; 100000 ; 660 ; 81.00% ; 1.170996 
