 ; T0 ; lambdaT ; kStep ; kMax ; Min ; % ; MoySec
9 ; 1 ; 0.970000 ; 1 ; 10 ; 730 ; 1.00% ; 0.000190 
9 ; 1 ; 0.970000 ; 1 ; 100 ; 690 ; 12.00% ; 0.001522 
9 ; 1 ; 0.970000 ; 10 ; 100 ; 690 ; 17.00% ; 0.001472 
9 ; 1 ; 0.970000 ; 1 ; 1000 ; 690 ; 14.00% ; 0.014490 
9 ; 1 ; 0.970000 ; 10 ; 1000 ; 690 ; 10.00% ; 0.014438 
9 ; 1 ; 0.970000 ; 100 ; 1000 ; 690 ; 16.00% ; 0.014190 
9 ; 1 ; 0.970000 ; 1 ; 10000 ; 690 ; 10.00% ; 0.145489 
9 ; 1 ; 0.970000 ; 10 ; 10000 ; 690 ; 16.00% ; 0.143399 
9 ; 1 ; 0.970000 ; 100 ; 10000 ; 690 ; 11.00% ; 0.143570 
9 ; 1 ; 0.970000 ; 1000 ; 10000 ; 690 ; 17.00% ; 0.142067 
9 ; 1 ; 0.970000 ; 1 ; 100000 ; 690 ; 10.00% ; 1.428552 
9 ; 1 ; 0.970000 ; 10 ; 100000 ; 690 ; 18.00% ; 1.425829 
9 ; 1 ; 0.970000 ; 100 ; 100000 ; 690 ; 14.00% ; 1.444717 
9 ; 1 ; 0.970000 ; 1000 ; 100000 ; 690 ; 12.00% ; 1.437007 
9 ; 5 ; 0.970000 ; 1 ; 10 ; 770 ; 1.00% ; 0.000178 
9 ; 5 ; 0.970000 ; 1 ; 100 ; 690 ; 13.00% ; 0.001466 
9 ; 5 ; 0.970000 ; 10 ; 100 ; 690 ; 11.00% ; 0.001482 
9 ; 5 ; 0.970000 ; 1 ; 1000 ; 690 ; 13.00% ; 0.014594 
9 ; 5 ; 0.970000 ; 10 ; 1000 ; 690 ; 11.00% ; 0.014457 
9 ; 5 ; 0.970000 ; 100 ; 1000 ; 690 ; 14.00% ; 0.014273 
9 ; 5 ; 0.970000 ; 1 ; 10000 ; 690 ; 18.00% ; 0.142212 
9 ; 5 ; 0.970000 ; 10 ; 10000 ; 690 ; 15.00% ; 0.143212 
9 ; 5 ; 0.970000 ; 100 ; 10000 ; 690 ; 16.00% ; 0.142710 
9 ; 5 ; 0.970000 ; 1000 ; 10000 ; 690 ; 13.00% ; 0.140498 
9 ; 5 ; 0.970000 ; 1 ; 100000 ; 690 ; 15.00% ; 1.442364 
9 ; 5 ; 0.970000 ; 10 ; 100000 ; 690 ; 18.00% ; 1.404570 
9 ; 5 ; 0.970000 ; 100 ; 100000 ; 690 ; 13.00% ; 1.431211 
9 ; 5 ; 0.970000 ; 1000 ; 100000 ; 690 ; 11.00% ; 1.443558 
9 ; 10 ; 0.970000 ; 1 ; 10 ; 730 ; 1.00% ; 0.000173 
9 ; 10 ; 0.970000 ; 1 ; 100 ; 690 ; 7.00% ; 0.001495 
9 ; 10 ; 0.970000 ; 10 ; 100 ; 690 ; 11.00% ; 0.001470 
9 ; 10 ; 0.970000 ; 1 ; 1000 ; 690 ; 14.00% ; 0.014297 
9 ; 10 ; 0.970000 ; 10 ; 1000 ; 690 ; 20.00% ; 0.014048 
9 ; 10 ; 0.970000 ; 100 ; 1000 ; 690 ; 17.00% ; 0.014194 
9 ; 10 ; 0.970000 ; 1 ; 10000 ; 690 ; 7.00% ; 0.145068 
9 ; 10 ; 0.970000 ; 10 ; 10000 ; 690 ; 17.00% ; 0.141713 
9 ; 10 ; 0.970000 ; 100 ; 10000 ; 690 ; 14.00% ; 0.142151 
9 ; 10 ; 0.970000 ; 1000 ; 10000 ; 690 ; 14.00% ; 0.143052 
9 ; 10 ; 0.970000 ; 1 ; 100000 ; 690 ; 14.00% ; 1.424756 
9 ; 10 ; 0.970000 ; 10 ; 100000 ; 690 ; 11.00% ; 1.450290 
9 ; 10 ; 0.970000 ; 100 ; 100000 ; 690 ; 17.00% ; 1.403736 
9 ; 10 ; 0.970000 ; 1000 ; 100000 ; 690 ; 15.00% ; 1.423327 
