 ; T0 ; lambdaT ; kStep ; kMax ; Min ; % ; MoySec
3 ; 1 ; 0.970000 ; 1 ; 10 ; 220 ; 98.00% ; 0.000133 
3 ; 1 ; 0.970000 ; 1 ; 100 ; 220 ; 100.00% ; 0.001156 
3 ; 1 ; 0.970000 ; 10 ; 100 ; 220 ; 100.00% ; 0.001145 
3 ; 1 ; 0.970000 ; 1 ; 1000 ; 220 ; 100.00% ; 0.011258 
3 ; 1 ; 0.970000 ; 10 ; 1000 ; 220 ; 100.00% ; 0.011072 
3 ; 1 ; 0.970000 ; 100 ; 1000 ; 220 ; 100.00% ; 0.011043 
3 ; 1 ; 0.970000 ; 1 ; 10000 ; 220 ; 100.00% ; 0.117275 
3 ; 1 ; 0.970000 ; 10 ; 10000 ; 220 ; 100.00% ; 0.111266 
3 ; 1 ; 0.970000 ; 100 ; 10000 ; 220 ; 100.00% ; 0.112655 
3 ; 1 ; 0.970000 ; 1000 ; 10000 ; 220 ; 100.00% ; 0.110514 
3 ; 1 ; 0.970000 ; 1 ; 100000 ; 220 ; 100.00% ; 1.108104 
3 ; 1 ; 0.970000 ; 10 ; 100000 ; 220 ; 100.00% ; 1.100200 
3 ; 1 ; 0.970000 ; 100 ; 100000 ; 220 ; 100.00% ; 1.100047 
3 ; 1 ; 0.970000 ; 1000 ; 100000 ; 220 ; 100.00% ; 1.099813 
3 ; 5 ; 0.970000 ; 1 ; 10 ; 220 ; 93.00% ; 0.000121 
3 ; 5 ; 0.970000 ; 1 ; 100 ; 220 ; 100.00% ; 0.001103 
3 ; 5 ; 0.970000 ; 10 ; 100 ; 220 ; 100.00% ; 0.001117 
3 ; 5 ; 0.970000 ; 1 ; 1000 ; 220 ; 100.00% ; 0.011066 
3 ; 5 ; 0.970000 ; 10 ; 1000 ; 220 ; 100.00% ; 0.010965 
3 ; 5 ; 0.970000 ; 100 ; 1000 ; 220 ; 100.00% ; 0.010945 
3 ; 5 ; 0.970000 ; 1 ; 10000 ; 220 ; 100.00% ; 0.110647 
3 ; 5 ; 0.970000 ; 10 ; 10000 ; 220 ; 100.00% ; 0.109993 
3 ; 5 ; 0.970000 ; 100 ; 10000 ; 220 ; 100.00% ; 0.109873 
3 ; 5 ; 0.970000 ; 1000 ; 10000 ; 220 ; 100.00% ; 0.109427 
3 ; 5 ; 0.970000 ; 1 ; 100000 ; 220 ; 100.00% ; 1.108445 
3 ; 5 ; 0.970000 ; 10 ; 100000 ; 220 ; 100.00% ; 1.101517 
3 ; 5 ; 0.970000 ; 100 ; 100000 ; 220 ; 100.00% ; 1.099426 
3 ; 5 ; 0.970000 ; 1000 ; 100000 ; 220 ; 100.00% ; 1.101000 
3 ; 10 ; 0.970000 ; 1 ; 10 ; 220 ; 98.00% ; 0.000129 
3 ; 10 ; 0.970000 ; 1 ; 100 ; 220 ; 100.00% ; 0.001145 
3 ; 10 ; 0.970000 ; 10 ; 100 ; 220 ; 100.00% ; 0.001149 
3 ; 10 ; 0.970000 ; 1 ; 1000 ; 220 ; 100.00% ; 0.011474 
3 ; 10 ; 0.970000 ; 10 ; 1000 ; 220 ; 100.00% ; 0.010959 
3 ; 10 ; 0.970000 ; 100 ; 1000 ; 220 ; 100.00% ; 0.011008 
3 ; 10 ; 0.970000 ; 1 ; 10000 ; 220 ; 100.00% ; 0.113380 
3 ; 10 ; 0.970000 ; 10 ; 10000 ; 220 ; 100.00% ; 0.113498 
3 ; 10 ; 0.970000 ; 100 ; 10000 ; 220 ; 100.00% ; 0.110103 
3 ; 10 ; 0.970000 ; 1000 ; 10000 ; 220 ; 100.00% ; 0.109566 
3 ; 10 ; 0.970000 ; 1 ; 100000 ; 220 ; 100.00% ; 1.110367 
3 ; 10 ; 0.970000 ; 10 ; 100000 ; 220 ; 100.00% ; 1.099808 
3 ; 10 ; 0.970000 ; 100 ; 100000 ; 220 ; 100.00% ; 1.097986 
3 ; 10 ; 0.970000 ; 1000 ; 100000 ; 220 ; 100.00% ; 1.096528 
